"b1","b2","b3","b4","b5","b6","psi","rho","tau","sigma_dem","sigma_env","SO_0","IO_0","delta","SB1_0","SB2_0","SB3_0","SB4_0","SB5_0","SB6_0","loglik","loglik.se"
3.58955416581758,-1.69393748523128,1.62393645265676,6.32351311945259,5.09211396429799,2.52322405720278,0.00285966485914574,0.0120689655172414,0.00135298197253034,0.0487084811901529,0.439870401749263,0.120740921785557,0.00175179925499274,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.717685325527,0.140911546429967
3.11840555430897,1.12534679282908,1.45081960752367,6.37071520454641,5.00719609934019,2.64724122554921,0.00242886454555834,0.0124716499749193,0.00112070532140712,0.0398086142578052,0.490322998791907,0.12812030173799,0.000843865036199386,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.903614487525,0.121483722787851
3.87231113261156,-2.15121993224677,1.76604424272258,6.2509820657341,5.22982743543456,2.499380813224,0.00293095236279128,0.0125862068965517,0.000995564958142947,0.0509001300530287,0.451480744222706,0.115086333263412,0.00130925071778668,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.020533532453,0.173492378675986
3.16344950950132,-0.059375387511469,1.92876851338773,6.03971910873528,5.01370611461034,2.64706157249801,0.00218968534919189,0.0136206896551724,0.00130404192635876,0.0408891964727392,0.462432698264162,0.136613048498519,0.00176597830678839,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.030737974066,0.225175024765283
3.13090914526881,0.412554975132595,1.92371552613528,6.20182565927114,4.84591672029251,2.54026616097142,0.00178266321503516,0.0141379310344828,0.00167356698791385,0.0389811843022456,0.46514718133452,0.151107127964629,0.000867241606617097,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.049555192769,0.167172762340541
2.83975305606604,0.666331082700267,0.971521527697174,6.29064480505712,4.7815676018728,2.61789862837694,0.00164600685215575,0.0151828932153653,0.00172901993854043,0.0349771757080005,0.497590878938131,0.16668053821003,0.000895814599443191,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.088074977291,0.148745825261767
3.20689232551838,1.24954404488197,1.74692982312586,6.43433030389834,4.89469000008159,2.75222874662756,0.00209180973684983,0.0124142671443681,0.00188442013424444,0.0445691260364885,0.438174839895965,0.134778563592492,0.000558952414642332,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.219599324297,0.125080474833178
3.03521042815223,1.44957541456072,1.66749416338215,6.16331083188028,4.84069087415865,2.55885652610626,0.00170940224019809,0.013456793284672,0.0010339074901667,0.040129573805703,0.471420773372271,0.166003392917,0.000732520997573092,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.23297222415,0.151556620557243
4.01967186509121,-4.68829301852755,1.93320001951876,6.06025469185305,5.09345476608466,2.37189326182229,0.00229898389999203,0.0146551724137931,0.00163676673592511,0.0418721229578259,0.467711991155569,0.123177735482074,0.00106950467450154,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.23354058532,0.152818782884754
3.34629560304974,0.00747747092361572,2.13954640098309,6.11474555146142,5.11630757503524,2.60813343836693,0.00233331844942402,0.0124733108683791,0.000934766716653777,0.0465316323093978,0.461733467157801,0.122383783536965,0.000322333922402993,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.236313538694,0.229044040398999
3.62540134597987,-0.153280374742477,1.99454007400178,6.32274514129259,5.07565462857446,2.62871154220703,0.00281973076786941,0.0113517968500208,8.91582154857566e-07,0.0477412828553328,0.460144948095798,0.117339975022546,0.000901307409574414,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.23942616256,0.112337905088655
3.23038379749911,0.880842730636525,1.66711332635525,6.2410503683555,4.93596063942125,2.59377058582254,0.0020346938403711,0.0125862068965517,0.00161888313480859,0.038687775632301,0.483705013934308,0.135938950258965,0.00113074692485218,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.239559330963,0.0774319961078721
2.91782601166875,0.215493247930856,1.56798935813873,6.18748777635016,4.83612750451828,2.60015554427392,0.00160079271493912,0.0144542490973701,0.00171181586132758,0.0311864975445052,0.493231965202476,0.160085370265016,0.000347986274400598,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.252861808971,0.118109777759423
3.22420069890605,-0.122173887970262,1.4514688575026,6.24600040758584,4.84784461170843,2.47328949155938,0.00152837566839571,0.0162068965517241,0.00178182217172577,0.0340171903580006,0.484633087968387,0.160867461068396,0.00101920878012781,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.260872165152,0.120248973967894
3.6202247197392,-1.10433849284038,1.57065416310813,6.31520849338681,5.03701045068733,2.67174907880991,0.00291584980338192,0.0120011040897988,0.00196919534362916,0.0474508623149559,0.420697009304839,0.112687200471718,0.00129979258704896,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.268875133722,0.114933943384242
3.23880407897642,0.38964083222519,1.11658692569535,6.61738035455969,4.74434211049665,2.77164576528367,0.00227290738381179,0.0131034482758621,0.00197929366356945,0.0424313539922837,0.463721020662446,0.124474280529041,0.00163870572502897,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.286761232278,0.13772528029329
3.30438631565232,0.0841136781019534,1.08996702678721,6.34621999759725,4.89694290282633,2.54010132781685,0.00222732313618061,0.013056166795491,0.00136625842847767,0.0437421568918129,0.479371659181699,0.139905740646783,0.00117244447825672,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.28730513474,0.0655510541754718
3.19636020909894,-0.818706672203481,0.951602629401427,6.47679049636849,4.83574627135097,2.64705448323806,0.00230823849054712,0.0125862068965517,0.00153398276785525,0.0446092009170924,0.441915881027381,0.142974599278516,0.00169418584096011,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.309180799283,0.128295657724554
2.64621048069637,2.22108624650423,1.54921587218942,6.28303201874498,4.76992004629726,2.71863834680001,0.00161220774930238,0.0138255187945067,0.00215468654968869,0.035781463886339,0.452997997639716,0.149539859645036,0.000654183683891564,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.331882099186,0.117770412734898
